trade_id,broker_trade_id,broker_execution_id,order_id,account_id,side,ticker,isin,security_type,quantity,price,gross_notional,trade_currency,exchange,venue_mic,market_country,broker_name,timestamp,settlement_date,fx_rate,commission,exchange_fee,clearing_fee,tax,stamp_duty,total_fees,net_settlement_amount,confirmation_status,source_system
T0001,BT000001,BE000001,O00001,ACC001,SELL,AAPL,US0378331005,COMMON_STOCK,100,189.4455,18944.54,USD,NASDAQ,XNAS,US,Broker_A,2026-09-12T10:50:16.362,2026-09-14,1.0,0.5,0.05,0.02,0.0,0.0,0.57,18943.97,CONFIRMED,BROKER
T0002,BT000002,BE000002,O00002,ACC001,BUY,AAPL,US0378331005,COMMON_STOCK,1000,190.8888,190888.7,USD,NASDAQ,XNAS,US,Broker_C,2026-09-12T10:38:18.461,2026-09-14,1.0,2.0,0.5,0.2,0.0,0.0,2.7,190891.4,CONFIRMED,BROKER
T0003,BT000003,BE000003,O00003,ACC001,SELL,7203.T,JP3633400001,COMMON_STOCK,200,2837.3387,567467.74,JPY,Tokyo Stock Exchange,XTKS,JP,Broker_B,2026-09-12T10:14:42.024,2026-09-14,0.0068,0.5,0.1,0.04,0.0,0.0,0.64,567467.1,CONFIRMED,BROKER
T0004,BT000004,BE000004,O00004,ACC002,SELL,SAP.DE,DE0007164600,COMMON_STOCK,1000,203.4618,203461.8,EUR,Xetra,XETR,DE,Broker_C,2026-09-12T10:25:50.345,2026-09-14,1.17,2.0,0.5,0.2,0.0,0.0,2.7,203459.1,CONFIRMED,BROKER
T0005,BT000005,BE000005,O00005,ACC003,BUY,MSFT,US5949181045,COMMON_STOCK,100,422.2939,42229.38,USD,NASDAQ,XNAS,US,Broker_B,2026-09-12T10:05:26.813,2026-09-14,1.0,0.5,0.05,0.02,0.0,0.0,0.57,42229.95,CONFIRMED,BROKER
T0006,BT000006,BE000006,O00006,ACC003,BUY,HSBA.L,GB0005405286,COMMON_STOCK,200,7.229,1445.8,GBP,London Stock Exchange,XLON,GB,Broker_A,2026-09-12T10:45:45.046,2026-09-14,1.36,0.5,0.1,0.04,0.0,7.23,7.87,1453.67,CONFIRMED,BROKER
T0007,BT000007,BE000007,O00007,ACC002,BUY,HSBA.L,GB0005405286,COMMON_STOCK,200,7.2998,1459.94,GBP,London Stock Exchange,XLON,GB,Broker_B,2026-09-12T10:52:57.991,2026-09-14,1.36,0.5,0.1,0.04,0.0,7.3,7.94,1467.88,CONFIRMED,BROKER
T0008,BT000008,BE000008,O00008,ACC001,SELL,AAPL,US0378331005,COMMON_STOCK,100,191.0922,19109.22,USD,NASDAQ,XNAS,US,Broker_A,2026-09-12T10:27:01.074,2026-09-14,1.0,0.5,0.05,0.02,0.0,0.0,0.57,19108.65,CONFIRMED,BROKER
T0009,BT000009,BE000009,O00009,ACC003,SELL,SAP.DE,DE0007164600,COMMON_STOCK,1000,204.5875,204587.5,EUR,Xetra,XETR,DE,Broker_A,2026-09-12T10:14:58.362,2026-09-14,1.17,2.0,0.5,0.2,0.0,0.0,2.7,204584.8,CONFIRMED,BROKER
T0010,BT000010,BE000010,O00010,ACC003,BUY,MSFT,US5949181045,COMMON_STOCK,500,419.0056,209502.8,USD,NASDAQ,XNAS,US,Broker_C,2026-09-12T10:31:57.498,2026-09-14,1.0,1.0,0.25,0.1,0.0,0.0,1.35,209504.15,CONFIRMED,BROKER
T0011,BT000011,BE000011,O00011,ACC003,SELL,AAPL,US0378331005,COMMON_STOCK,200,189.02,37804.0,USD,NASDAQ,XNAS,US,Broker_C,2026-09-12T10:29:40.325,2026-09-14,1.0,0.5,0.1,0.04,0.0,0.0,0.64,37803.36,CONFIRMED,BROKER
T0012,BT000012,BE000012,O00012,ACC003,SELL,MSFT,US5949181045,COMMON_STOCK,1000,420.9152,420915.3,USD,NASDAQ,XNAS,US,Broker_A,2026-09-12T10:10:26.247,2026-09-14,1.0,2.0,0.5,0.2,0.0,0.0,2.7,420912.6,CONFIRMED,BROKER
T0013,BT000013,BE000013,O00013,ACC002,BUY,SAP.DE,DE0007164600,COMMON_STOCK,50,206.7592,10337.97,EUR,Xetra,XETR,DE,Broker_A,2026-09-12T10:59:59.865,2026-09-14,1.17,0.5,0.03,0.01,0.0,0.0,0.54,10338.51,CONFIRMED,BROKER
T0014,BT000014,BE000014,O00014,ACC003,BUY,AAPL,US0378331005,COMMON_STOCK,1000,191.5128,191512.8,USD,NASDAQ,XNAS,US,Broker_B,2026-09-12T10:08:45.861,2026-09-14,1.0,2.0,0.5,0.2,0.0,0.0,2.7,191515.5,CONFIRMED,BROKER
T0015,BT000015,BE000015,O00015,ACC003,BUY,SAP.DE,DE0007164600,COMMON_STOCK,1000,206.0466,206046.6,EUR,Xetra,XETR,DE,Broker_B,2026-09-12T10:47:05.224,2026-09-14,1.17,2.0,0.5,0.2,0.0,0.0,2.7,206049.3,CONFIRMED,BROKER
T0016,BT000016,BE000016,O00016,ACC002,BUY,SAP.DE,DE0007164600,COMMON_STOCK,100,203.2125,20321.25,EUR,Xetra,XETR,DE,Broker_C,2026-09-12T10:01:26.869,2026-09-14,1.17,0.5,0.05,0.02,0.0,0.0,0.57,20321.82,CONFIRMED,BROKER
T0017,BT000017,BE000017,O00017,ACC001,BUY,AAPL,US0378331005,COMMON_STOCK,200,188.865,37773.0,USD,NASDAQ,XNAS,US,Broker_C,2026-09-12T10:16:14.482,2026-09-14,1.0,0.5,0.1,0.04,0.0,0.0,0.64,37773.64,CONFIRMED,BROKER
T0018,BT000018,BE000018,O00018,ACC003,BUY,SAP.DE,DE0007164600,COMMON_STOCK,500,206.2608,103130.35,EUR,Xetra,XETR,DE,Broker_B,2026-09-12T10:12:58.895,2026-09-14,1.17,1.0,0.25,0.1,0.0,0.0,1.35,103131.7,CONFIRMED,BROKER
T0019,BT000019,BE000019,O00019,ACC003,BUY,AAPL,US0378331005,COMMON_STOCK,50,190.129,9506.45,USD,NASDAQ,XNAS,US,Broker_C,2026-09-12T10:23:09.630,2026-09-14,1.0,0.5,0.03,0.01,0.0,0.0,0.54,9506.99,CONFIRMED,BROKER
T0020,BT000020,BE000020,O00020,ACC001,BUY,HSBA.L,GB0005405286,COMMON_STOCK,200,7.2445,1448.92,GBP,London Stock Exchange,XLON,GB,Broker_A,2026-09-12T10:59:41.722,2026-09-14,1.36,0.5,0.1,0.04,0.0,7.24,7.88,1456.8,CONFIRMED,BROKER
T0021,BT000021,BE000021,O00021,ACC003,BUY,AAPL,US0378331005,COMMON_STOCK,50,192.1246,9606.23,USD,NASDAQ,XNAS,US,Broker_A,2026-09-12T10:57:56.112,2026-09-14,1.0,0.5,0.03,0.01,0.0,0.0,0.54,9606.77,CONFIRMED,BROKER
T0022,BT000022,BE000022,O00022,ACC001,SELL,HSBA.L,GB0005405286,COMMON_STOCK,50,7.3203,366.02,GBP,London Stock Exchange,XLON,GB,Broker_C,2026-09-12T10:18:07.113,2026-09-14,1.36,0.5,0.03,0.01,0.0,0.0,0.54,365.48,CONFIRMED,BROKER
T0023,BT000023,BE000023,O00023,ACC001,SELL,HSBA.L,GB0005405286,COMMON_STOCK,100,7.318,731.8,GBP,London Stock Exchange,XLON,GB,Broker_C,2026-09-12T10:39:33.008,2026-09-14,1.36,0.5,0.05,0.02,0.0,0.0,0.57,731.23,CONFIRMED,BROKER
T0024,BT000024,BE000024,O00024,ACC003,BUY,HSBA.L,GB0005405286,COMMON_STOCK,50,7.3168,365.84,GBP,London Stock Exchange,XLON,GB,Broker_B,2026-09-12T10:05:28.761,2026-09-14,1.36,0.5,0.03,0.01,0.0,1.83,2.37,368.21,CONFIRMED,BROKER
T0025,BT000025,BE000025,O00025,ACC003,BUY,AAPL,US0378331005,COMMON_STOCK,1000,188.9074,188907.4,USD,NASDAQ,XNAS,US,Broker_A,2026-09-12T10:44:52.875,2026-09-14,1.0,2.0,0.5,0.2,0.0,0.0,2.7,188910.1,CONFIRMED,BROKER
T0026,BT000026,BE000026,O00026,ACC001,SELL,7203.T,JP3633400001,COMMON_STOCK,100,2859.7863,285978.63,JPY,Tokyo Stock Exchange,XTKS,JP,Broker_B,2026-09-12T10:20:28.491,2026-09-14,0.0068,0.5,0.05,0.02,0.0,0.0,0.57,285978.06,CONFIRMED,BROKER
T0027,BT000027,BE000027,O00027,ACC003,BUY,SAP.DE,DE0007164600,COMMON_STOCK,1000,203.8239,203823.9,EUR,Xetra,XETR,DE,Broker_B,2026-09-12T10:18:06.192,2026-09-14,1.17,2.0,0.5,0.2,0.0,0.0,2.7,203826.6,CONFIRMED,BROKER
T0028,BT000028,BE000028,O00028,ACC002,SELL,MSFT,US5949181045,COMMON_STOCK,1000,424.0643,424064.4,USD,NASDAQ,XNAS,US,Broker_B,2026-09-12T10:55:05.910,2026-09-14,1.0,2.0,0.5,0.2,0.0,0.0,2.7,424061.7,CONFIRMED,BROKER
T0029,BT000029,BE000029,O00029,ACC001,BUY,AAPL,US0378331005,COMMON_STOCK,50,191.4236,9571.18,USD,NASDAQ,XNAS,US,Broker_A,2026-09-12T10:10:36.266,2026-09-14,1.0,0.5,0.03,0.01,0.0,0.0,0.54,9571.72,CONFIRMED,BROKER
T0030,BT000030,BE000030,O00030,ACC003,SELL,7203.T,JP3633400001,COMMON_STOCK,50,2826.761,141338.05,JPY,Tokyo Stock Exchange,XTKS,JP,Broker_C,2026-09-12T10:28:54.832,2026-09-14,0.0068,0.5,0.03,0.01,0.0,0.0,0.54,141337.51,CONFIRMED,BROKER
T0031,BT000031,BE000031,O00031,ACC001,SELL,7203.T,JP3633400001,COMMON_STOCK,1000,2861.723,2861723.0,JPY,Tokyo Stock Exchange,XTKS,JP,Broker_C,2026-09-12T10:38:16.823,2026-09-14,0.0068,2.0,0.5,0.2,0.0,0.0,2.7,2861720.3,CONFIRMED,BROKER
T0032,BT000032,BE000032,O00032,ACC002,BUY,AAPL,US0378331005,COMMON_STOCK,500,189.0806,94540.3,USD,NASDAQ,XNAS,US,Broker_C,2026-09-12T10:21:02.113,2026-09-14,1.0,1.0,0.25,0.1,0.0,0.0,1.35,94541.65,CONFIRMED,BROKER
T0033,BT000033,BE000033,O00033,ACC003,SELL,MSFT,US5949181045,COMMON_STOCK,1000,423.2267,423226.7,USD,NASDAQ,XNAS,US,Broker_A,2026-09-12T10:27:44.855,2026-09-14,1.0,2.0,0.5,0.2,0.0,0.0,2.7,423224.0,CONFIRMED,BROKER
T0034,BT000034,BE000034,O00034,ACC002,BUY,MSFT,US5949181045,COMMON_STOCK,200,422.372,84474.4,USD,NASDAQ,XNAS,US,Broker_B,2026-09-12T10:28:06.775,2026-09-14,1.0,0.5,0.1,0.04,0.0,0.0,0.64,84475.04,CONFIRMED,BROKER
T0035,BT000035,BE000035,O00035,ACC002,BUY,AAPL,US0378331005,COMMON_STOCK,500,189.9272,94963.6,USD,NASDAQ,XNAS,US,Broker_B,2026-09-12T10:56:00.747,2026-09-14,1.0,1.0,0.25,0.1,0.0,0.0,1.35,94964.95,CONFIRMED,BROKER
T0036,BT000036,BE000036,O00036,ACC002,SELL,7203.T,JP3633400001,COMMON_STOCK,200,2858.0645,571612.9,JPY,Tokyo Stock Exchange,XTKS,JP,Broker_A,2026-09-12T10:27:17.944,2026-09-14,0.0068,0.5,0.1,0.04,0.0,0.0,0.64,571612.26,CONFIRMED,BROKER
T0037,BT000037,BE000037,O00037,ACC002,BUY,SAP.DE,DE0007164600,COMMON_STOCK,1000,204.7317,204731.7,EUR,Xetra,XETR,DE,Broker_B,2026-09-12T10:49:44.826,2026-09-14,1.17,2.0,0.5,0.2,0.0,0.0,2.7,204734.4,CONFIRMED,BROKER
