trade_id,order_id,execution_id,account_id,portfolio_id,side,ticker,isin,security_type,quantity,price,trade_currency,notional,exchange,venue_mic,market_country,timestamp,settlement_date,fx_rate,source_system
T0001,O00001,E000001,ACC003,PORT_GLOBAL,BUY,AAPL,US0378331005,COMMON_STOCK,100,189.1266,USD,18912.66,NASDAQ,XNAS,US,2026-09-12T10:06:59.139,2026-09-14,1.0,OMS
T0002,O00002,E000002,ACC001,PORT_ARB,BUY,SAP,DE0007164600,COMMON_STOCK,1000,204.67,EUR,204670.0,Xetra,XETR,DE,2026-09-12T10:30:39.150,2026-09-14,1.17,OMS
T0003,O00003,E000003,ACC001,PORT_GLOBAL,BUY,MSFT,US5949181045,COMMON_STOCK,50,418.9914,USD,20949.57,NASDAQ,XNAS,US,2026-09-12T10:24:30.088,2026-09-14,1.0,OMS
T0004,O00004,E000004,ACC001,PORT_ARB,SELL,HSBA,GB0005405286,COMMON_STOCK,1000,7.3059,GBP,7305.9,London Stock Exchange,XLON,GB,2026-09-12T10:24:41.147,2026-09-14,1.36,OMS
T0005_A,O00005,E000005_A,ACC001,PORT_GLOBAL,SELL,MSFT,US5949181045,COMMON_STOCK,375,421.1397,USD,157927.39,NASDAQ,XNAS,US,2026-09-12T10:24:54.041,2026-09-14,1.0,OMS
T0005_B,O00005,E000005_B,ACC001,PORT_GLOBAL,SELL,MSFT,US5949181045,COMMON_STOCK,125,421.1397,USD,52642.46,NASDAQ,XNAS,US,2026-09-12T10:24:54.041,2026-09-14,1.0,OMS
T0006_A,O00006,E000006_A,ACC003,PORT_ARB,BUY,AAPL,US0378331005,COMMON_STOCK,750,191.373,USD,143529.75,NASDAQ,XNAS,US,2026-09-12T10:11:09.118,2026-09-14,1.0,OMS
T0006_B,O00006,E000006_B,ACC003,PORT_ARB,BUY,AAPL,US0378331005,COMMON_STOCK,250,191.373,USD,47843.25,NASDAQ,XNAS,US,2026-09-12T10:11:09.118,2026-09-14,1.0,OMS
T0007,O00007,E000007,ACC001,PORT_US,BUY,7203,JP3633400001,COMMON_STOCK,200,2844.3664,JPY,568873.28,Tokyo Stock Exchange,XTKS,JP,2026-09-12T10:04:31.054,2026-09-14,0.0068,OMS
T0008,O00008,E000008,ACC001,PORT_US,SELL,7203,JP3633400001,COMMON_STOCK,1000,2845.9207,JPY,2845920.7,Tokyo Stock Exchange,XTKS,JP,2026-09-12T10:39:50.102,2026-09-14,0.0068,OMS
T0009,O00009,E000009,ACC001,PORT_US,BUY,AAPL,US0378331005,COMMON_STOCK,500,190.8673,USD,95433.65,NASDAQ,XNAS,US,2026-09-12T10:26:16.097,2026-09-14,1.0,OMS
T0010,O00010,E000010,ACC003,PORT_ARB,SELL,AAPL,US0378331005,COMMON_STOCK,200,189.02,USD,37804.0,NASDAQ,XNAS,US,2026-09-12T10:29:40.040,2026-09-14,1.0,OMS
