trade_id,scenario,expected_status,expected_break_type
T0001,TIMESTAMP_BREAK,MISMATCHED,TIMESTAMP_BREAK
T0002,MATCHED,MATCHED,
T0003,MATCHED,MATCHED,
T0004,MATCHED,MATCHED,
T0005_A+T0005_B,MANY_TO_ONE,MATCHED,
T0006_A+T0006_B,MANY_TO_ONE,MATCHED,
T0007,PRICE_BREAK,MISMATCHED,PRICE_BREAK
T0008,MATCHED,MATCHED,
T0009,MATCHED,MATCHED,
T0010,SETTLEMENT_BREAK,MISMATCHED,SETTLEMENT_BREAK
T0011,MATCHED,MATCHED,
T0012_A+T0012_B,MANY_TO_ONE,MATCHED,
T0013,MISSING_CONFIRMATION,MISMATCHED,MISSING_CONFIRMATION
T0014,MISSING_EXECUTION,MISMATCHED,MISSING_EXECUTION
T0015,MATCHED,MATCHED,
T0016,PRICE_BREAK,MISMATCHED,PRICE_BREAK
T0017,TIMESTAMP_BREAK,MISMATCHED,TIMESTAMP_BREAK
T0018,MATCHED,MATCHED,
T0019_A+T0019_B,MANY_TO_ONE,MATCHED,
T0020_A+T0020_B,MANY_TO_ONE,MATCHED,
T0021,PRICE_BREAK,MISMATCHED,PRICE_BREAK
T0022,MATCHED,MATCHED,
T0023,MATCHED,MATCHED,
T0024,MATCHED,MATCHED,
T0025_A+T0025_B,MANY_TO_ONE,MATCHED,
T0026,MATCHED,MATCHED,
T0027,SETTLEMENT_BREAK,MISMATCHED,SETTLEMENT_BREAK
T0028,PARTIAL_CONFIRMATION,MATCHED,
T0029,MATCHED,MATCHED,
T0030,MATCHED,MATCHED,
T0031,TIMESTAMP_BREAK,MISMATCHED,TIMESTAMP_BREAK
T0032_A+T0032_B,MANY_TO_ONE,MATCHED,
T0033_A+T0033_B,MANY_TO_ONE,MATCHED,
T0034,TIMESTAMP_BREAK,MISMATCHED,TIMESTAMP_BREAK
T0035,TIMESTAMP_BREAK,MISMATCHED,TIMESTAMP_BREAK
T0036,PARTIAL_CONFIRMATION,MATCHED,
T0037,MISSING_CONFIRMATION,MISMATCHED,MISSING_CONFIRMATION
T0038,MATCHED,MATCHED,
T0039,PARTIAL_CONFIRMATION,MATCHED,
T0040,MATCHED,MATCHED,
T0041,SETTLEMENT_BREAK,MISMATCHED,SETTLEMENT_BREAK
T0042_A+T0042_B,MANY_TO_ONE,MATCHED,
T0043,MATCHED,MATCHED,
T0044,TIMESTAMP_BREAK,MISMATCHED,TIMESTAMP_BREAK
T0045,MISSING_EXECUTION,MISMATCHED,MISSING_EXECUTION
T0046_A+T0046_B,MANY_TO_ONE,MATCHED,
T0047,MATCHED,MATCHED,
T0048,MATCHED,MATCHED,
T0049,TIMESTAMP_BREAK,MISMATCHED,TIMESTAMP_BREAK
T0050,SETTLEMENT_BREAK,MISMATCHED,SETTLEMENT_BREAK
T0051,PARTIAL_CONFIRMATION,MATCHED,
T0052,MATCHED,MATCHED,
T0053,MATCHED,MATCHED,
T0054_A+T0054_B,MANY_TO_ONE,MATCHED,
T0055,MATCHED,MATCHED,
T0056,MATCHED,MATCHED,
T0057,MATCHED,MATCHED,
T0058_A+T0058_B,MANY_TO_ONE,MATCHED,
T0059,PARTIAL_CONFIRMATION,MATCHED,
T0060,MATCHED,MATCHED,
T0061,QUANTITY_BREAK,MISMATCHED,QUANTITY_BREAK
T0062,MISSING_EXECUTION,MISMATCHED,MISSING_EXECUTION
T0063,MISSING_CONFIRMATION,MISMATCHED,MISSING_CONFIRMATION
T0064,QUANTITY_BREAK,MISMATCHED,QUANTITY_BREAK
T0065,MATCHED,MATCHED,
T0066,MATCHED,MATCHED,
T0067,MATCHED,MATCHED,
T0068,MATCHED,MATCHED,
T0069,MATCHED,MATCHED,
T0070,PARTIAL_CONFIRMATION,MATCHED,
T0071,QUANTITY_BREAK,MISMATCHED,QUANTITY_BREAK
T0072,PRICE_BREAK,MISMATCHED,PRICE_BREAK
T0073,MATCHED,MATCHED,
T0074_A+T0074_B,MANY_TO_ONE,MATCHED,
T0075,MATCHED,MATCHED,
T0076,QUANTITY_BREAK,MISMATCHED,QUANTITY_BREAK
T0077_A+T0077_B,MANY_TO_ONE,MATCHED,
T0078,MATCHED,MATCHED,
T0079_A+T0079_B,MANY_TO_ONE,MATCHED,
T0080,PARTIAL_CONFIRMATION,MATCHED,
T0081,MATCHED,MATCHED,
T0082,MISSING_EXECUTION,MISMATCHED,MISSING_EXECUTION
T0083,PRICE_BREAK,MISMATCHED,PRICE_BREAK
T0084,MATCHED,MATCHED,
T0085,MATCHED,MATCHED,
T0086,MATCHED,MATCHED,
T0087,MATCHED,MATCHED,
T0088,MATCHED,MATCHED,
T0089,PNL_BREAK,MISMATCHED,PNL_BREAK
T0090,MATCHED,MATCHED,
T0091,QUANTITY_BREAK,MISMATCHED,QUANTITY_BREAK
T0092_A+T0092_B,MANY_TO_ONE,MATCHED,
T0093,MATCHED,MATCHED,
T0094,PARTIAL_CONFIRMATION,MATCHED,
T0095,MATCHED,MATCHED,
T0096,PARTIAL_CONFIRMATION,MATCHED,
T0097,PRICE_BREAK,MISMATCHED,PRICE_BREAK
T0098,MISSING_EXECUTION,MISMATCHED,MISSING_EXECUTION
T0099,MATCHED,MATCHED,
T0100,MATCHED,MATCHED,
