trade_id,account_id,portfolio_id,ticker,isin,side,quantity,trade_price,mark_price,trade_currency,base_currency,fx_rate,gross_notional,market_value,realized_pnl,unrealized_pnl,fx_pnl,total_fees,net_pnl,pnl_currency,timestamp,pricing_source,source_system
T0001,ACC001,PORT_ARB,AAPL,US0378331005,SELL,100,189.4454,186.3153,USD,USD,1.0,18944.54,18631.53,0.0,313.01,0.0,0.57,312.44,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0002,ACC001,PORT_US,AAPL,US0378331005,BUY,1000,190.8887,190.2742,USD,USD,1.0,190888.7,190274.2,0.0,-614.5,0.0,2.7,-617.2,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0003,ACC001,PORT_US,7203,JP3633400001,SELL,200,2837.3387,2792.1921,JPY,USD,0.0068,567467.74,558438.42,0.0,61.4,-2.4,0.0,59.0,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0004,ACC002,PORT_US,SAP,DE0007164600,SELL,1000,203.4618,201.7786,EUR,USD,1.17,203461.8,201778.6,0.0,1969.34,2.57,3.16,1968.75,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0005,ACC003,PORT_US,MSFT,US5949181045,BUY,100,422.2938,428.4844,USD,USD,1.0,42229.38,42848.44,0.0,619.06,0.0,0.57,618.49,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0006,ACC003,PORT_GLOBAL,HSBA,GB0005405286,BUY,200,7.229,7.2606,GBP,USD,1.36,1445.8,1452.12,0.0,8.6,-6.58,10.7,-8.68,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0007,ACC002,PORT_GLOBAL,HSBA,GB0005405286,BUY,200,7.2997,7.3937,GBP,USD,1.36,1459.94,1478.74,0.0,25.57,6.1,10.8,20.87,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0008,ACC001,PORT_ARB,AAPL,US0378331005,SELL,100,191.0922,188.3624,USD,USD,1.0,19109.22,18836.24,0.0,272.98,0.0,0.57,272.41,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0009,ACC003,PORT_GLOBAL,SAP,DE0007164600,SELL,1000,204.5875,204.5344,EUR,USD,1.17,204587.5,204534.4,0.0,62.13,5.12,3.16,64.09,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0010,ACC003,PORT_GLOBAL,MSFT,US5949181045,BUY,500,419.0056,426.901,USD,USD,1.0,209502.8,213450.5,0.0,3947.7,0.0,1.35,3946.35,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
T0011,ACC003,PORT_ARB,AAPL,US0378331005,SELL,200,189.02,185.2641,USD,USD,1.0,37804.0,37052.82,0.0,751.18,0.0,0.64,750.54,USD,2026-09-12T16:00:00,MARKET_DATA,PNL_ENGINE
